day,month,hour,minute,Total
1,4,0,0,0.0
1,4,0,15,0.0
1,4,0,30,0.0
1,4,0,45,0.0
1,4,1,0,0.0
1,4,1,15,0.0
1,4,1,30,0.0
1,4,1,45,0.0
1,4,2,0,0.0
1,4,2,15,0.0
1,4,2,30,0.0
1,4,2,45,0.0
1,4,3,0,0.0
1,4,3,15,0.0
1,4,3,30,0.0
1,4,3,45,0.0
1,4,4,0,0.0
1,4,4,15,0.0
1,4,4,30,0.0
1,4,4,45,0.0
1,4,5,0,0.0
1,4,5,15,0.0
1,4,5,30,0.0
1,4,5,45,0.0
1,4,6,0,0.0
1,4,6,15,0.0
1,4,6,30,0.0
1,4,6,45,0.0
1,4,7,0,0.0125
1,4,7,15,0.225
1,4,7,30,1.035
1,4,7,45,2.285
1,4,8,0,5.0575
1,4,8,15,9.44
1,4,8,30,14.165
1,4,8,45,18.3775
1,4,9,0,22.7225
1,4,9,15,27.6475
1,4,9,30,32.165
1,4,9,45,33.82
1,4,10,0,41.17
1,4,10,15,49.13
1,4,10,30,35.44
1,4,10,45,33.0625
1,4,11,0,45.725
1,4,11,15,36.575
1,4,11,30,31.9875
1,4,11,45,40.085
1,4,12,0,48.335
1,4,12,15,46.47
1,4,12,30,37.9175
1,4,12,45,63.6375
1,4,13,0,63.59
1,4,13,15,30.5775
1,4,13,30,38.415
1,4,13,45,62.45
1,4,14,0,58.7975
1,4,14,15,57.275
1,4,14,30,65.885
1,4,14,45,72.2875
1,4,15,0,75.585
1,4,15,15,57.66
1,4,15,30,47.2
1,4,15,45,66.04
1,4,16,0,64.1325
1,4,16,15,60.5
1,4,16,30,63.54
1,4,16,45,44.7125
1,4,17,0,22.3925
1,4,17,15,14.06
1,4,17,30,14.6575
1,4,17,45,14.2925
1,4,18,0,12.7175
1,4,18,15,10.7975
1,4,18,30,10.97
1,4,18,45,10.0375
1,4,19,0,8.5925
1,4,19,15,6.17
1,4,19,30,3.79
1,4,19,45,1.83
1,4,20,0,0.6475
1,4,20,15,0.14
1,4,20,30,0.0
1,4,20,45,0.0
1,4,21,0,0.0
1,4,21,15,0.0
1,4,21,30,0.0
1,4,21,45,0.0
1,4,22,0,0.0
1,4,22,15,0.0
1,4,22,30,0.0
1,4,22,45,0.0
1,4,23,0,0.0
1,4,23,15,0.0
1,4,23,30,0.0
1,4,23,45,0.0
2,4,0,0,0.0
2,4,0,15,0.0
2,4,0,30,0.0
2,4,0,45,0.0
2,4,1,0,0.0
2,4,1,15,0.0
2,4,1,30,0.0
2,4,1,45,0.0
2,4,2,0,0.0
