day,month,hour,minute,Total
0,3,0,0,0.0
0,3,0,1,0.0
0,3,0,2,0.0
0,3,0,3,0.0
0,3,1,0,0.0
0,3,1,1,0.0
0,3,1,2,0.0
0,3,1,3,0.0
0,3,2,0,0.0
0,3,2,1,0.0
0,3,2,2,0.0
0,3,2,3,0.0
0,3,3,0,0.0
0,3,3,1,0.0
0,3,3,2,0.0
0,3,3,3,0.0
0,3,4,0,0.0
0,3,4,1,0.0
0,3,4,2,0.0
0,3,4,3,0.0
0,3,5,0,0.0
0,3,5,1,0.0
0,3,5,2,0.0
0,3,5,3,0.0
0,3,6,0,0.0
0,3,6,1,0.0
0,3,6,2,0.0
0,3,6,3,0.0
0,3,7,0,0.0125
0,3,7,1,0.225
0,3,7,2,1.035
0,3,7,3,2.285
0,3,8,0,5.0575
0,3,8,1,9.44
0,3,8,2,14.165
0,3,8,3,18.3775
0,3,9,0,22.7225
0,3,9,1,27.6475
0,3,9,2,32.165
0,3,9,3,33.82
0,3,10,0,41.17
0,3,10,1,49.13
0,3,10,2,35.44
0,3,10,3,33.0625
0,3,11,0,45.725
0,3,11,1,36.575
0,3,11,2,31.9875
0,3,11,3,40.085
0,3,12,0,48.335
0,3,12,1,46.47
0,3,12,2,37.9175
0,3,12,3,63.6375
0,3,13,0,63.59
0,3,13,1,30.5775
0,3,13,2,38.415
0,3,13,3,62.45
0,3,14,0,58.7975
0,3,14,1,57.275
0,3,14,2,65.885
0,3,14,3,72.2875
0,3,15,0,75.585
0,3,15,1,57.66
0,3,15,2,47.2
0,3,15,3,66.04
0,3,16,0,64.1325
0,3,16,1,60.5
0,3,16,2,63.54
0,3,16,3,44.7125
0,3,17,0,22.3925
0,3,17,1,14.06
0,3,17,2,14.6575
0,3,17,3,14.2925
0,3,18,0,12.7175
0,3,18,1,10.7975
0,3,18,2,10.97
0,3,18,3,10.0375
0,3,19,0,8.5925
0,3,19,1,6.17
0,3,19,2,3.79
0,3,19,3,1.83
0,3,20,0,0.6475
0,3,20,1,0.14
0,3,20,2,0.0
0,3,20,3,0.0
0,3,21,0,0.0
0,3,21,1,0.0
0,3,21,2,0.0
0,3,21,3,0.0
0,3,22,0,0.0
0,3,22,1,0.0
0,3,22,2,0.0
0,3,22,3,0.0
0,3,23,0,0.0
0,3,23,1,0.0
0,3,23,2,0.0
0,3,23,3,0.0
1,3,0,0,0.0
1,3,0,1,0.0
1,3,0,2,0.0
1,3,0,3,0.0
1,3,1,0,0.0
1,3,1,1,0.0
1,3,1,2,0.0
1,3,1,3,0.0
1,3,2,0,0.0
1,3,2,1,0.0
1,3,2,2,0.0
1,3,2,3,0.0
1,3,3,0,0.0
1,3,3,1,0.0
1,3,3,2,0.0
1,3,3,3,0.0
1,3,4,0,0.0
1,3,4,1,0.0
1,3,4,2,0.0
1,3,4,3,0.0
1,3,5,0,0.0
1,3,5,1,0.0
1,3,5,2,0.0
1,3,5,3,0.0
1,3,6,0,0.0
1,3,6,1,0.0
1,3,6,2,0.0
1,3,6,3,0.0
1,3,7,0,0.0
1,3,7,1,0.3375
1,3,7,2,1.325
1,3,7,3,2.8
1,3,8,0,4.3
1,3,8,1,10.3725
1,3,8,2,16.0525
1,3,8,3,17.5925
1,3,9,0,7.685
1,3,9,1,15.4375
1,3,9,2,30.335
1,3,9,3,36.915
1,3,10,0,35.1025
1,3,10,1,39.565
1,3,10,2,54.72
1,3,10,3,55.41
1,3,11,0,56.5625
1,3,11,1,59.1625
1,3,11,2,61.0175
1,3,11,3,60.06
1,3,12,0,74.34
1,3,12,1,68.85
1,3,12,2,75.9375
1,3,12,3,74.8925
1,3,13,0,57.6925
1,3,13,1,46.7325
1,3,13,2,41.27
1,3,13,3,44.1275
1,3,14,0,45.5975
1,3,14,1,44.52
1,3,14,2,38.96
1,3,14,3,31.4075
1,3,15,0,33.4575
1,3,15,1,28.865
1,3,15,2,50.9025
1,3,15,3,56.435
1,3,16,0,46.905
1,3,16,1,48.545
1,3,16,2,60.2875
1,3,16,3,67.89
1,3,17,0,58.62
1,3,17,1,41.5125
1,3,17,2,33.4975
1,3,17,3,24.175
1,3,18,0,16.595
1,3,18,1,11.03
1,3,18,2,8.105
1,3,18,3,5.805
1,3,19,0,3.415
1,3,19,1,2.2025
1,3,19,2,1.04
1,3,19,3,0.4325
1,3,20,0,0.0875
1,3,20,1,0.0
1,3,20,2,0.0
1,3,20,3,0.0
1,3,21,0,0.0
1,3,21,1,0.0
1,3,21,2,0.0
1,3,21,3,0.0
1,3,22,0,0.0
1,3,22,1,0.0
1,3,22,2,0.0
1,3,22,3,0.0
1,3,23,0,0.0
1,3,23,1,0.0
1,3,23,2,0.0
1,3,23,3,0.0
2,3,0,0,0.0
2,3,0,1,0.0
2,3,0,2,0.0
2,3,0,3,0.0
2,3,1,0,0.0
2,3,1,1,0.0
2,3,1,2,0.0
2,3,1,3,0.0
2,3,2,0,0.0
2,3,2,1,0.0
2,3,2,2,0.0
2,3,2,3,0.0
2,3,3,0,0.0
2,3,3,1,0.0
2,3,3,2,0.0
2,3,3,3,0.0
2,3,4,0,0.0
2,3,4,1,0.0
2,3,4,2,0.0
2,3,4,3,0.0
2,3,5,0,0.0
2,3,5,1,0.0
2,3,5,2,0.0
2,3,5,3,0.0
2,3,6,0,0.0
2,3,6,1,0.0
2,3,6,2,0.0
2,3,6,3,0.0
2,3,7,0,0.05
2,3,7,1,0.93
2,3,7,2,2.7325
2,3,7,3,5.095
2,3,8,0,7.005
2,3,8,1,9.0575
2,3,8,2,19.96
2,3,8,3,19.0975
2,3,9,0,20.03
2,3,9,1,29.1525
2,3,9,2,40.0675
2,3,9,3,62.4475
2,3,10,0,54.3675
2,3,10,1,31.9925
2,3,10,2,29.2875
2,3,10,3,62.66
2,3,11,0,41.4925
2,3,11,1,60.6
2,3,11,2,52.3
2,3,11,3,67.555
2,3,12,0,64.5475
2,3,12,1,93.175
2,3,12,2,101.7
2,3,12,3,60.9575
2,3,13,0,59.3525
2,3,13,1,69.1175
2,3,13,2,68.885
2,3,13,3,106.6625
2,3,14,0,125.6
2,3,14,1,103.3025
2,3,14,2,80.725
2,3,14,3,111.5775
2,3,15,0,91.6075
2,3,15,1,111.855
2,3,15,2,108.67
2,3,15,3,109.515
2,3,16,0,104.31
2,3,16,1,100.955
2,3,16,2,97.5725
2,3,16,3,93.645
2,3,17,0,89.8725
2,3,17,1,83.5975
2,3,17,2,75.1875
2,3,17,3,67.3375
2,3,18,0,58.015
2,3,18,1,49.9875
2,3,18,2,41.6825
2,3,18,3,29.5325
2,3,19,0,12.2025
2,3,19,1,5.9575
2,3,19,2,4.61
2,3,19,3,2.7575
2,3,20,0,1.205
2,3,20,1,0.12
2,3,20,2,0.0
2,3,20,3,0.0
2,3,21,0,0.0
2,3,21,1,0.0
2,3,21,2,0.0
2,3,21,3,0.0
2,3,22,0,0.0
2,3,22,1,0.0
2,3,22,2,0.0
2,3,22,3,0.0
2,3,23,0,0.0
2,3,23,1,0.0
2,3,23,2,0.0
